Symbol,pleiotropy_class,master_score,Peak -logP_adipose,Peak -logP_liver,Effect Size_adipose,Effect Size_liver,Peak_Chr_adipose,Peak_Chr_liver,Peak_Pos_adipose,Peak_Pos_liver
LOC120098829,shared_cis_conserved,59.95890473580316,88.7,52.4,1.456,1.554,Chr20,Chr20,3.601132,4.679209
LOC120101770,shared_cis_conserved,57.88821128104449,42.3,47.7,1.268,1.497,Chr3,Chr3,145.190228,145.190228
LOC120100687,shared_cis_conserved,57.23680101912258,110.4,40.8,-0.937,-1.108,Chr2,Chr2,31.925135,31.925135
LOC120098830,shared_cis_conserved,56.9940752961295,86.2,73.0,1.158,1.493,Chr20,Chr20,3.601132,3.601132
RGD1563400,shared_cis_conserved,56.96878993756885,60.6,89.3,-1.061,-1.986,Chr12,Chr12,19.031953,19.031953
LOC103690178,shared_cis_conserved,56.21750982520626,76.1,64.7,0.74,1.461,Chr17,Chr17,61.901363,61.901363
LOC100360200,shared_cis_conserved,55.70718903565495,62.2,46.5,1.263,1.268,Chr12,Chr12,9.403643,9.403643
LOC120095687,shared_cis_conserved,55.675001020116696,66.6,63.8,-1.15,-2.196,Chr11,Chr11,77.035984,77.035984
LOC259244,shared_cis_conserved,54.856462711334174,43.3,62.1,1.319,1.625,Chr5,Chr5,74.310359,74.310359
LOC103691992,shared_cis_conserved,53.97892526991701,63.9,49.2,-1.057,-1.31,Chr3,Chr3,163.652536,163.652536
RGD1559588,shared_cis_conserved,53.92837936939551,42.8,42.6,1.049,1.234,Chr12,Chr12,17.449158,19.032032
LOC103691076,shared_cis_conserved,53.86242515109501,87.2,70.0,-0.806,-1.34,Chr1,Chr1,84.965439,85.901814
LOC120095967,shared_cis_conserved,53.77195958977151,68.2,45.4,-1.033,-0.955,Chr12,Chr12,33.354417,33.354417
LOC120093158,shared_cis_conserved,53.40060846560847,52.6,97.8,0.587,1.244,Chr2,Chr2,90.62277,90.62277
LOC102546604,shared_cis_conserved,53.35205265904534,75.3,65.0,0.872,1.528,Chr1,Chr1,11.644866,11.644866
LOC102551693,shared_cis_conserved,53.12585543482284,85.5,34.2,0.743,0.969,Chr1,Chr1,205.159275,205.159275
LOC102549007,shared_cis_conserved,53.11388491820389,50.2,39.2,-1.166,-1.05,Chr3,Chr3,164.153483,164.153483
LOC100911030,shared_cis_conserved,52.93019166168092,61.9,21.6,-0.963,-1.057,Chr1,Chr1,208.647015,208.647015
LOC120100724,shared_cis_conserved,52.65807327158226,65.7,64.9,-0.821,-1.64,Chr2,Chr2,52.627302,52.627302
LOC102552452,shared_cis_conserved,52.48820500265231,30.4,57.1,0.684,1.344,Chr12,Chr12,2.754668,2.754668
LOC102553363,shared_cis_conserved,52.19302215701939,63.6,39.9,-0.911,-0.827,Chr1,Chr1,20.006034,20.006034
LOC120099936,shared_cis_conserved,52.16772879803485,78.6,66.2,0.709,1.067,Chr1,Chr1,182.32356,182.32356
Cyp2d5,shared_cis_conserved,51.92008138411511,40.8,37.3,1.062,0.674,Chr7,Chr7,113.822112,113.823396
LOC102555623,shared_cis_conserved,51.60643850056446,39.5,65.1,-0.633,-1.591,Chr2,Chr2,226.753542,226.735033
LOC108348488,shared_cis_conserved,51.40200192384167,65.3,21.3,-0.774,-0.751,Chr1,Chr1,53.025976,52.525836
LOC685453,shared_cis_conserved,50.67757790006293,58.2,34.4,0.755,0.796,Chr5,Chr5,113.292868,114.372409
RGD1560860,shared_cis_conserved,50.54248797151138,52.1,28.0,1.016,0.625,Chr17,Chr17,54.649901,54.649901
LOC108353253,shared_cis_conserved,50.31157233987568,41.3,38.9,-0.582,-1.333,Chr20,Chr20,3.2101,3.2101
LOC120097786,shared_cis_conserved,50.25384182750506,25.4,45.5,-0.621,-1.013,Chr17,Chr17,7.992823,7.992823
LOC102553457,shared_cis_conserved,50.18989587251773,42.8,27.4,-0.641,-0.741,Chr1,Chr1,21.00906,21.00906
LOC102548553,shared_cis_conserved,50.104710886364366,51.5,43.4,-0.761,-0.924,Chr4,Chr4,71.606853,71.606853
LOC103694354,shared_cis_conserved,49.98663123502037,46.4,21.3,-0.582,-0.712,Chr19,Chr19,50.602551,50.602551
LOC120098934,shared_cis_conserved,49.68323136733672,41.5,27.0,-0.599,-0.791,Chr20,Chr20,6.858809,7.361183
LOC103692950,shared_cis_conserved,49.287815114049046,26.9,59.3,-0.371,-1.407,Chr7,Chr7,113.404775,113.404775
LOC689303,shared_cis_conserved,49.22352191890752,23.6,49.3,-0.391,-0.929,Chr17,Chr17,14.42663,14.42663
LOC103692300,shared_cis_conserved,48.97376838307736,30.8,22.9,-0.631,-0.752,Chr5,Chr5,22.915517,22.915517
LOC100363423,shared_cis_conserved,48.69174711987051,20.0,35.6,-0.528,-0.935,Chr10,Chr10,75.461046,75.461046
Tatdn3,shared_cis_conserved,48.54739154656091,60.5,24.6,0.499,0.578,Chr13,Chr13,102.773533,102.773533
LOC120103114,shared_cis_conserved,48.47391305931427,46.0,20.0,-0.421,-0.619,Chr5,Chr5,112.457794,112.457794
LOC108351105,shared_cis_conserved,47.80048051259453,39.5,23.7,-0.689,-0.585,Chr5,Chr5,128.754736,128.754736
LOC100910628,shared_cis_conserved,47.78845625141064,26.0,20.7,0.769,0.782,Chr17,Chr17,27.877255,27.877255
LOC102552179,shared_cis_conserved,46.85014292077617,74.5,23.8,-0.498,-0.622,Chr6,Chr6,88.072336,88.072336
LOC120093718,shared_cis_conserved,46.73014395972233,23.8,28.9,0.676,0.847,Chr7,Chr7,127.401498,127.456612
LOC120098823,shared_cis_conserved,46.64934034681694,24.6,22.7,-0.659,-0.695,Chr20,Chr20,42.941156,42.941156
LOC108350743,shared_cis_conserved,46.42450808885258,33.7,27.9,-1.128,-0.653,Chr4,Chr4,139.912263,139.912263
LOC102556463,shared_cis_conserved,45.95068939486677,39.0,32.7,0.387,1.02,Chr9,Chr9,113.311047,113.311047
LOC120098896,shared_cis_conserved,45.81294283885467,51.6,42.1,0.619,0.715,Chr20,Chr20,3.601132,3.601132
RGD1566099,shared_cis_conserved,45.669461091466665,42.5,29.1,0.369,0.523,Chr13,Chr13,50.307539,50.307539
LOC120098833,shared_cis_conserved,44.42004128915305,23.3,23.4,0.429,0.669,Chr20,Chr20,3.601052,0.462329
LOC100912622,shared_cis_conserved,44.152525400905866,33.6,29.2,-0.284,-0.654,Chr2,Chr2,223.720312,223.720312
LOC120097083,shared_cis_conserved,44.12863242443458,21.5,23.7,0.492,0.352,Chr15,Chr15,96.098863,95.608069
LOC102549024,tissue_specific,42.39845758354756,,157.8,,-5.604,,Chr4,,175.154923
LOC102549099,tissue_specific,39.232634213354,,149.9,,-4.676,,Chr15,,50.896269
LOC102550304,shared_cis_flip,34.22603745868527,63.9,63.0,0.678,-1.203,Chr3,Chr3,131.46244,132.076729
LOC120096108,tissue_specific,34.08748046005013,96.1,,-1.868,,Chr12,,27.01514,
LOC120098766,tissue_specific,34.0064701267156,75.2,,2.319,,Chr1,,1.137347,
Vdac1-ps11,shared_cis_flip,33.337754228331704,40.4,21.2,1.02,-0.927,Chr18,Chr18,49.764351,49.989962
LOC120094326,tissue_specific,33.23809302031199,85.5,,2.383,,Chr8,,32.952038,
LOC685157,tissue_specific,33.19834469063261,,134.2,,-2.929,,Chr12,,19.032032
LOC120103588,tissue_specific,32.94062960136711,97.1,,1.57,,Chr6,,107.059969,
LOC102553008,tissue_specific,32.29175337658628,,125.3,,-2.889,,Chr16,,45.587763
LOC100134871,tissue_specific,32.117368671832736,21.5,,3.074,,Chr1,,158.468568,
LOC102548668,shared_cis_flip,31.993004429254334,37.6,25.4,0.76,-0.82,Chr1,Chr1,243.679443,243.679443
Slpil2,tissue_specific,31.778733130559708,97.4,,2.245,,Chr3,,153.340874,
LOC120098768,tissue_specific,31.471142972126383,108.6,,-1.919,,Chr1,,2.698079,
LOC120094140,shared_cis_flip,31.203235779872387,59.0,22.1,0.569,-0.864,Chr8,Chr8,48.395402,48.395474
LOC102550008,tissue_specific,30.870665534573615,123.5,,2.16,,Chr2,,150.688203,
LOC120103587,tissue_specific,30.837563754870803,114.1,,1.643,,Chr6,,107.059969,
LOC102553702,tissue_specific,30.72140612886114,,106.7,,-2.928,,Chr1,,234.254973
LOC292543,tissue_specific,30.42766692509623,,84.0,,2.077,,Chr1,,66.378703
LOC103693140,tissue_specific,30.110794650502097,131.0,,-1.088,,Chr8,,73.350324,
LOC108352105,tissue_specific,29.836087648426982,,101.8,,-2.76,,Chr10,,56.935705
LOC100362296,tissue_specific,29.188741883979567,71.5,,1.245,,Chr3,,138.348233,
LOC100912568,tissue_specific,28.83907201807527,82.6,,1.872,,Chr6,,107.059969,
LOC102548576,tissue_specific,28.83109721072813,91.0,,1.681,,Chr11,,72.767252,
Apol3,shared_cis_flip,28.674970416615658,27.5,33.5,0.331,-0.864,Chr7,Chr7,108.643752,109.593956
LOC120103584,tissue_specific,28.377590050956123,79.3,,1.355,,Chr6,,107.059969,
LOC102550339,tissue_specific,28.256003496591177,83.6,,1.229,,Chr5,,110.03365,
LOC102552728,tissue_specific,28.056833936996878,99.2,,-0.83,,Chr1,,20.006034,
LOC108351885,tissue_specific_cis,27.666658307329826,44.7,20.6,-0.762,-0.868,Chr9,Chr9,9.211178,5.497561
LOC100361547,tissue_specific,27.62189034425538,,46.7,,1.529,,Chr1,,238.452893
LOC100911506,tissue_specific,27.30049785821848,81.0,,-1.058,,Chr14,,44.394691,
LOC102551006,tissue_specific,27.252498546072484,78.0,,1.114,,Chr5,,21.572861,
LOC120100693,tissue_specific,27.038725225015437,67.9,,-1.29,,Chr2,,33.741686,
LOC685767,tissue_specific,26.872845853565643,,72.1,,-1.894,,Chr11,,55.372546
LOC120096589,tissue_specific,26.546449313801496,,93.7,,-1.792,,Chr14,,19.903596
LOC120101826,tissue_specific,26.44233620326165,,59.2,,-1.414,,Chr3,,164.153483
LOC102549291,tissue_specific,26.256274577943053,72.3,,1.003,,Chr3,,138.84848,
LOC102553634,tissue_specific,26.155315284330896,89.9,,-1.063,,Chr11,,42.033724,
LOC120093626,tissue_specific,26.13615568428934,79.7,,-1.288,,Chr7,,61.809626,
LOC120100829,tissue_specific,26.126818305036977,105.3,,-2.391,,Chr7,,133.296205,
LOC120093670,tissue_specific,26.11334856707607,,82.8,,-1.999,,Chr7,,93.103623
LOC102550769,tissue_specific,26.071938629779247,,58.2,,2.064,,Chr8,,48.321392
LOC120099798,tissue_specific,26.030902079922424,65.7,,0.617,,Chr1,,93.830128,
LOC102556043,tissue_specific,25.95221564222993,50.6,,0.938,,Chr1,,93.830128,
LOC120096585,tissue_specific,25.76411501475769,,81.8,,1.901,,Chr14,,19.903596
LOC108351754,tissue_specific,25.716813134190044,63.7,,1.067,,Chr8,,84.736853,
LOC108352304,tissue_specific,25.457143471298217,68.9,,1.368,,Chr11,,28.840444,
LOC120095605,tissue_specific,25.23445073783089,69.5,,1.301,,Chr11,,28.831347,
LOC120097004,tissue_specific,25.204653284562568,60.9,,1.007,,Chr15,,35.414731,
LOC102554231,tissue_specific,25.16207614151059,,65.2,,1.482,,Chr12,,17.789478
RGD1561231,tissue_specific,25.0576297928483,,76.8,,-1.804,,Chr17,,85.40193
LOC103693572,tissue_specific,24.992071766100977,72.2,,-1.182,,Chr11,,55.372546,
RGD1564482,tissue_specific,24.976025421937525,68.9,,0.772,,Chr5,,148.448833,
LOC100911718,tissue_specific,24.929611947606805,,38.8,,1.536,,Chr1,,237.090968
LOC108352728,tissue_specific,24.90304810870364,,73.7,,1.851,,Chr14,,19.903596
LOC120098153,tissue_specific,24.835989811162577,55.1,,1.049,,Chr18,,22.039241,
LOC120093590,tissue_specific,24.8026694945109,54.7,,-1.05,,Chr7,,50.445816,
RGD1565693,tissue_specific,24.728593828182188,68.1,,1.211,,Chr6,,107.059969,
LOC103691954,tissue_specific,24.71042779503383,71.0,,1.862,,Chr3,,138.84848,
LOC102549876,tissue_specific,24.61847635369486,,76.8,,-1.638,,Chr5,,49.404396
LOC102550701,tissue_specific,24.597808789325494,,75.6,,1.671,,Chr8,,123.157499
LOC108350123,tissue_specific,24.526455026455025,,58.9,,-2.212,,Chr2,,227.454883
LOC120098218,tissue_specific,24.519351267693427,66.8,,1.19,,Chr18,,70.329282,
LOC102554403,tissue_specific,24.41662695981666,56.4,,-0.919,,Chr11,,70.604547,
LOC102554057,tissue_specific,24.40736660273935,,57.4,,1.462,,Chr2,,43.477907
LOC120101644,tissue_specific,24.282286693597747,,49.6,,0.924,,Chr3,,109.271062
Usp26,tissue_specific,24.26827022631113,110.3,,-1.832,,Chr6,,98.323867,
LOC102555374,tissue_specific,24.19639187138085,66.0,,-0.65,,Chr13,,84.954509,
LOC102547177,tissue_specific,24.101020197352,50.1,,0.985,,Chr1,,156.192687,
LOC120096711,tissue_specific,23.999516352654144,93.8,,-1.178,,Chr14,,102.177361,
LOC100911367,tissue_specific,23.998313802339897,50.8,,1.425,,Chr18,,31.650799,
LOC120101645,tissue_specific,23.968666817134725,45.8,,-1.05,,Chr3,,109.771053,
LOC120096588,tissue_specific,23.93508657390405,,65.0,,-1.781,,Chr14,,19.903596
Cyp4f5,tissue_specific,23.92130819765781,,64.2,,-1.047,,Chr7,,11.496541
LOC120096622,tissue_specific,23.90954122765221,50.5,,0.93,,Chr14,,66.887304,
LOC103690152,tissue_specific,23.86093526648969,40.1,,-0.672,,Chr6,,100.909467,
LOC120100677,tissue_specific,23.82271051808327,,57.4,,1.241,,Chr2,,28.799556
LOC108352547,tissue_specific,23.682414463085763,62.4,,-1.088,,Chr13,,56.452309,
LOC120100033,tissue_specific,23.626657689639693,,46.9,,1.524,,Chr1,,238.452893
LOC102549403,tissue_specific,23.62413674919721,44.7,,-0.992,,Chr7,,50.445816,
LOC120102311,tissue_specific,23.59347470166124,58.1,,-0.683,,Chr4,,105.344429,
LOC102555661,tissue_specific,23.42837421646144,60.0,,1.081,,Chr3,,138.84848,
LOC690319,tissue_specific,23.415602344908255,,68.4,,1.469,,Chr6,,123.06773
LOC102553770,tissue_specific,23.33121364434843,51.1,,-1.258,,Chr2,,31.931397,
LOC103693502,tissue_specific,23.253295071454417,43.7,,0.445,,Chr9,,113.311047,
LOC120101643,tissue_specific,23.169373376314248,,41.7,,-0.772,,Chr3,,109.771053
LOC102546903,tissue_specific,23.115868767965107,53.2,,1.159,,Chr12,,19.031953,
LOC120099890,tissue_specific,23.036856316135783,55.2,,1.095,,Chr1,,153.308472,
LOC120102499,tissue_specific,22.98164289629526,53.9,,1.111,,Chr4,,129.196723,
LOC100362400,tissue_specific,22.97925093176751,35.8,,0.557,,Chr10,,38.923472,
LOC120101891,tissue_specific,22.947846097443595,67.0,,-0.808,,Chr3,,12.56422,
LOC120097291,tissue_specific,22.94397453029483,63.3,,1.611,,Chr6,,72.936638,
LOC102547621,tissue_specific,22.91041335128739,,52.7,,1.056,,Chr5,,56.984189
LOC108352809,tissue_specific,22.88714417587089,41.1,,0.896,,Chr14,,95.007131,
LOC102555240,tissue_specific,22.818597613767587,44.5,,0.803,,Chr10,,1.082663,
LOC120098616,tissue_specific,22.77428897865916,,66.8,,-1.281,,Chr19,,20.064558
LOC108348901,tissue_specific,22.75831395111601,,43.6,,-1.308,,Chr19,,16.494076
LOC108351294,tissue_specific,22.683515507166938,42.5,,-1.296,,Chr6,,123.06773,
LOC100911312,tissue_specific,22.664317693014095,38.5,,0.901,,Chr16,,64.696515,
LOC108348977,tissue_specific,22.64678816365671,42.4,,-0.809,,Chr19,,54.681161,
LOC120093165,tissue_specific,22.56292371388617,45.7,,-1.195,,Chr2,,52.627302,
LOC102552767,tissue_specific,22.54890032923845,41.0,,0.817,,Chr15,,11.837354,
LOC120099967,tissue_specific,22.541781756822107,77.0,,1.206,,Chr1,,201.365247,
RGD1562739,tissue_specific,22.53120877028332,,58.6,,-1.468,,Chr7,,90.26324
LOC100911962,tissue_specific,22.458042697104204,33.5,,-0.964,,Chr11,,78.236644,
Rpl10a-ps9,tissue_specific,22.289941209978178,113.0,,-1.296,,Chr20,,6.323102,
LOC120098942,tissue_specific,22.25707229751596,48.7,,-1.054,,Chr20,,44.128952,
LOC108352322,tissue_specific,22.216502767916648,,23.7,,1.024,,Chr11,,42.534465
LOC103691157,tissue_specific,22.214732256411907,56.6,,-0.866,,Chr1,,121.190327,
LOC102552731,tissue_specific,22.207575469884294,24.1,,0.635,,Chr1,,93.830128,
LOC102551569,tissue_specific,22.09571082426644,61.8,,1.441,,Chr1,,175.800813,
LOC120100182,tissue_specific,22.074461390014413,26.5,,0.549,,Chr1,,181.309526,
LOC120096968,tissue_specific,22.07362665052121,67.0,,0.598,,Chr1,,85.398518,
LOC120100680,tissue_specific,22.059474293247924,52.1,,-0.93,,Chr2,,30.036105,
LOC102548951,tissue_specific,22.025822554100184,,55.1,,1.396,,Chr18,,54.066542
LOC120096582,tissue_specific,21.997046765712863,52.5,,-0.906,,Chr14,,18.063211,
LOC102555770,tissue_specific,21.994817807157137,,62.9,,1.119,,Chr1,,87.967736
LOC103690538,tissue_specific,21.967152242216507,,57.3,,1.299,,Chr9,,59.678566
LOC100909671,tissue_specific,21.965682533882184,49.1,,0.975,,Chr10,,99.846935,
LOC102549163,tissue_specific,21.958236422246703,,60.2,,-1.197,,Chr13,,101.487789
RGD1306271,tissue_specific,21.88191809142966,,55.5,,1.328,,Chr4,,67.075063
LOC102552388,tissue_specific,21.864584714116653,95.4,,-1.59,,Chr3,,18.447382,
LOC102557304,tissue_specific,21.862841195289636,35.9,,-0.767,,Chr14,,83.449396,
LOC120098966,tissue_specific,21.785851702976046,36.5,,0.735,,Chr20,,2.611182,
LOC102546950,tissue_specific,21.78369499407084,34.7,,-0.775,,Chr3,,168.114441,
LOC120093298,tissue_specific,21.775590019907163,22.2,,0.574,,Chr6,,53.879848,
LOC120096930,tissue_specific,21.77226778060801,35.2,,-0.761,,Chr15,,16.723033,
LOC100911879,tissue_specific,21.749370928034168,,45.5,,-1.24,,Chr1,,237.090968
LOC102555308,tissue_specific,21.63558711116552,,44.5,,-1.609,,Chr13,,93.657711
LOC102548352,tissue_specific,21.626882194254268,42.8,,-0.555,,Chr8,,118.892957,
LOC120102639,tissue_specific,21.590347115491404,22.4,,-0.525,,Chr4,,119.127967,
LOC103690428,tissue_specific,21.586737076166692,46.3,,-0.947,,Chr7,,90.26324,
LOC102546541,tissue_specific,21.579800329157653,,74.9,,1.688,,Chr1,,157.103012
LOC120102848,tissue_specific,21.54443405498294,37.3,,-0.659,,Chr5,,46.108175,
LOC108348215,tissue_specific,21.46871642115858,,37.0,,-1.423,,Chr1,,58.660722
LOC102546433,tissue_specific,21.403174398456148,61.8,,0.554,,Chr18,,0.012173,
LOC108348385,tissue_specific,21.379688244503438,29.9,,-0.786,,Chr16,,17.698296,
LOC120103009,tissue_specific,21.3622088711671,35.0,,0.667,,Chr5,,148.359819,
LOC120093110,tissue_specific,21.355612682090836,,22.1,,-0.753,,Chr17,,86.425192
LOC120094289,tissue_specific,21.34783439437201,21.9,,-0.478,,Chr8,,119.32088,
LOC102549494,tissue_specific,21.32266562533213,52.9,,0.735,,Chr12,,4.504911,
LOC102555217,tissue_specific,21.312214065897845,55.4,,-0.436,,Chr3,,140.097827,
LOC102553943,tissue_specific,21.28918170451655,30.8,,-0.744,,Chr2,,208.854647,
RGD1561730,tissue_specific,21.245325040871187,45.1,,-0.892,,Chr12,,19.031953,
LOC102547102,tissue_specific,21.23352511527319,,46.5,,0.633,,Chr7,,110.115189
LOC103691243,tissue_specific,21.212259086897696,33.0,,0.676,,Chr1,,184.095736,
LOC102550051,tissue_specific,21.1697882237728,,37.5,,-0.915,,Chr10,,64.736786
Slfn13,tissue_specific,21.157543644694748,61.4,,-0.504,,Chr10,,68.317118,
LOC102548773,tissue_specific,21.12384238112127,34.1,,0.63,,Chr6,,36.489634,
LOC102547670,tissue_specific,21.109146666953272,31.1,,-0.694,,Chr19,,44.83953,
LOC103692665,tissue_specific,21.09416315275972,39.0,,0.993,,Chr6,,96.215505,
LOC102548389,tissue_specific,21.060316100161856,,39.4,,0.809,,Chr12,,4.504808
LOC100912314,tissue_specific,20.90764007561617,22.8,,0.352,,Chr5,,103.033474,
LOC120096970,tissue_specific,20.86349478380327,,20.1,,0.635,,Chr15,,27.318194
LOC102552601,tissue_specific,20.846930988897604,32.3,,0.604,,Chr6,,101.610586,
LOC108352416,tissue_specific,20.811013179907786,,55.3,,-0.93,,Chr12,,6.543668
LOC102557269,tissue_specific,20.794681551063007,45.0,,0.786,,Chr5,,49.91207,
LOC120097360,tissue_specific,20.759388430916648,47.2,,-0.728,,Chr1,,196.7613,
LOC120094674,tissue_specific,20.715689400480304,29.7,,-0.631,,Chr9,,42.018821,
LOC120102375,tissue_specific,20.70208875943859,28.0,,-0.666,,Chr4,,151.143317,
LOC108351200,tissue_specific,20.68358118767069,33.4,,-0.54,,Chr6,,31.417411,
LOC102551356,tissue_specific,20.587415376641864,23.4,,-0.742,,Chr18,,60.107267,
LOC102553526,tissue_specific,20.576188787263234,28.7,,-0.62,,Chr1,,21.00906,
LOC108349084,tissue_specific,20.52143605228438,,30.0,,-0.925,,Chr20,,42.941343
RGD1565648,tissue_specific,20.467597419114465,38.0,,0.865,,Chr3,,138.84848,
LOC120095906,tissue_specific,20.458853552777864,28.0,,-1.088,,Chr12,,19.032032,
LOC102548069,tissue_specific,20.372703037227453,,47.4,,-1.033,,Chr20,,8.746702
LOC102555545,tissue_specific,20.36728537701206,28.4,,-1.057,,Chr4,,157.629577,
LOC120096890,tissue_specific,20.327272814122978,24.4,,-0.657,,Chr1,,80.246758,
LOC120101602,tissue_specific,20.2906804141932,38.2,,-0.818,,Chr3,,79.134092,
LOC102554501,tissue_specific,20.282755947280368,,47.4,,0.999,,Chr3,,13.657871
LOC120103562,tissue_specific,20.279409964499937,,41.1,,-1.212,,Chr6,,98.648176
LOC103692636,tissue_specific,20.262772171051136,25.0,,-0.628,,Chr6,,71.892104,
LOC108350928,tissue_specific,20.183893468611288,30.2,,0.492,,Chr5,,21.572861,
RGD1565779,tissue_specific,20.174793733363423,43.7,,-1.387,,Chr18,,29.534165,
LOC120098550,tissue_specific,20.146176140780785,24.2,,0.618,,Chr19,,9.212323,
LOC120095254,tissue_specific,20.145264973065014,27.3,,-0.548,,Chr10,,24.016795,
LOC102554140,tissue_specific,20.14038846043988,,26.5,,0.9,,Chr7,,22.853993
LOC120101379,tissue_specific,20.08984615237638,53.1,,1.155,,Chr6,,72.936638,
LOC102552752,tissue_specific,20.087043157737245,,49.4,,-0.857,,Chr11,,77.181196
LOC120102251,tissue_specific,20.075235225767777,37.9,,0.773,,Chr4,,58.304409,
LOC102551452,tissue_specific,20.029091686400676,29.5,,0.951,,Chr1,,208.647015,
LOC102553326,tissue_specific,20.022315846794854,23.9,,0.595,,Chr5,,70.868633,
LOC102550849,tissue_specific,20.018099158453616,40.4,,-0.703,,Chr5,,73.810363,
LOC102548791,tissue_specific,20.018069667169925,,42.4,,-1.069,,Chr10,,103.865949
LOC108350069,tissue_specific,20.011302893050964,,46.5,,0.927,,Chr2,,183.798575
LOC102549998,tissue_specific,19.981501883815508,,40.2,,1.13,,Chr7,,120.551699
LOC120096357,tissue_specific,19.976623711617208,26.3,,0.53,,Chr13,,103.512827,
LOC120103042,tissue_specific,19.968920444498853,,44.5,,0.979,,Chr5,,161.614974
RGD1560017,tissue_specific,19.94064154327688,54.7,,2.044,,Chr18,,68.328736,
LOC102553602,tissue_specific,19.90170155465785,,24.2,,-0.888,,Chr1,,181.810195
RGD1564786,tissue_specific,19.898418532888613,40.5,,0.672,,Chr17,,31.43842,
Ugt1a2,tissue_specific,19.8843663715129,,28.8,,1.481,,Chr9,,88.391594
LOC691418,tissue_specific,19.853456835461976,,40.1,,1.085,,Chr3,,106.311986
Gbp6-ps3,tissue_specific,19.81915530095404,36.5,,0.743,,Chr14,,4.330834,
Spocd1,tissue_specific,19.818297871832257,23.1,,0.564,,Chr5,,142.268873,
LOC120093671,tissue_specific,19.784836985351124,,46.1,,-0.855,,Chr7,,93.103623
LOC102551372,tissue_specific,19.76850607902917,44.8,,0.544,,Chr5,,20.965022,
LOC100912214,tissue_specific,19.75510398389576,,42.3,,0.973,,Chr9,,92.43345
LOC120102417,tissue_specific,19.704234164388406,,39.5,,-1.049,,Chr4,,168.248096
LOC108349981,tissue_specific,19.693781368588564,,24.8,,0.789,,Chr2,,93.506741
LOC120098968,tissue_specific,19.663357563468264,26.2,,0.457,,Chr20,,2.611182,
LOC102546598,tissue_specific,19.657171654205285,27.6,,0.424,,Chr10,,80.180154,
LOC102555870,tissue_specific,19.63312184211123,24.9,,-0.479,,Chr17,,17.4009,
LOC108352885,tissue_specific,19.62791039268582,42.5,,-0.562,,Chr15,,10.208703,
LOC120096289,tissue_specific,19.62432423718066,31.4,,-0.811,,Chr13,,67.852024,
LOC103692969,tissue_specific,19.623372913861346,,23.4,,0.81,,Chr7,,127.957104
LOC103693477,tissue_specific,19.602869402080515,23.2,,0.51,,Chr10,,100.351953,
LOC103693415,tissue_specific,19.585172685986286,23.1,,0.508,,Chr10,,74.961416,
LOC103692512,tissue_specific,19.579963547829877,,42.0,,-0.917,,Chr5,,159.179026
LOC120100663,tissue_specific,19.559534010690825,,30.1,,-1.314,,Chr2,,22.703777
LOC120103561,tissue_specific,19.55334530270263,,36.0,,1.111,,Chr6,,97.992218
LOC120098180,tissue_specific,19.52685795217743,22.3,,-0.512,,Chr18,,58.367798,
LOC103691947,tissue_specific,19.49959875409747,,24.7,,-0.719,,Chr3,,149.009277
