Band_Label,N_Genes,Tissues,Top_Gene,Max_logP,Max_ES,Cross_Tissue,Flags,Genes
Chr17:25-30 Mb,1,Adipose,Eef1e1-ps4,27.9,0.753,False,PSEUDOGENE_TRANS,Eef1e1-ps4
Chr2:190-195 Mb,1,Adipose,Elfn2,27.3,0.614,False,,Elfn2
Chr3:25-30 Mb,1,Adipose,Gcnt4,26.9,-0.536,False,,Gcnt4
Chr2:150-155 Mb,1,Adipose,LOC120093567,25.8,0.575,False,LOC_UNCHARACTERIZED,LOC120093567
Chr1:55-60 Mb,1,Adipose,Vom1r17,25.6,-0.435,False,,Vom1r17
Chr12:10-15 Mb,1,Liver,RGD1565987,25.5,1.265,False,LOC_UNCHARACTERIZED,RGD1565987
Chr15:45-50 Mb,1,Adipose,Scara5,25.1,-0.336,False,,Scara5
Chr1:80-85 Mb,1,Liver,LOC120094351,23.2,1.649,False,LOC_UNCHARACTERIZED,LOC120094351
Chr2:80-85 Mb,1,Adipose,LOC102548673,23.1,-0.312,False,LOC_UNCHARACTERIZED,LOC102548673
Chr3:160-165 Mb,1,Liver,Frzb,21.4,0.627,False,,Frzb
Chr2:110-115 Mb,1,Liver,Cyp7b1,21.0,1.11,False,,Cyp7b1
Chr13:30-35 Mb,1,Adipose,LOC301444,21.0,-0.566,False,LOC_UNCHARACTERIZED,LOC301444
Chr1:225-230 Mb,1,Adipose,RGD1308750,21.0,0.304,False,LOC_UNCHARACTERIZED,RGD1308750
Chr2:95-100 Mb,1,Adipose,Rrs1-ps9,20.6,0.339,False,PSEUDOGENE_TRANS,Rrs1-ps9
Chr3:105-110 Mb,1,Adipose,LOC120101646,20.2,-0.677,False,LOC_UNCHARACTERIZED,LOC120101646
