"Index","Record","Symbol","Description","Location","Mean","Peak -logP","Peak Location","Effect Size"
"27787","ENSRNOG00000029386","RT1-N2","RT1 class Ib, locus N2","Chr20: 2.641156","4.809","118.2","Chr20: 2.687516","-2.911"
"27777","ENSRNOG00000031065","RT1-M1-2","RT1 class I, locus M1, gene 2","Chr20: 1.913422","2.284","117.9","Chr20: 2.050222","-1.783"
"1571","ENSRNOG00000032461","Bin2a","beta-galactosidase-like protein","Chr8: 25.287172","5.965","116.9","Chr8: 25.570084","-2.755"
"33504","ENSRNOG00000055608","Zfp94l1","zinc finger protein 94 like 1","Chr1: 79.896552","5.015","115.6","Chr1: 79.715297","-1.422"
"10998","UNCHAR_LOC102555965","LOC102555965","uncharacterized LOC102555965","Chr1: 184.499295","1.794","115.0","Chr1: 184.570953","-1.874"
"5616","ENSRNOG00000019902","Folr1","folate receptor alpha","Chr1: 156.238435","4.078","114.8","Chr1: 158.468568","1.749"
"27760","UNCHAR_RT1-CE14","RT1-CE14","RT1 class I, locus CE14","Chr20: 3.300794","8.480","114.4","Chr20: 3.601132","1.384"
"20151","UNCHAR_LOC120103587","LOC120103587","uncharacterized LOC120103587","Chr6: 107.187960","5.353","114.1","Chr6: 107.059969","1.643"
"27547","UNCHAR_Rpl10a-ps9","Rpl10a-ps9","ribosomal protein L10A, pseudogene 9","Chr4: 9.589500","8.368","113.0","Chr20: 6.323102","-1.296"
"14598","UNCHAR_LOC120095234","LOC120095234","uncharacterized LOC120095234","Chr10: 2.222455","4.340","112.0","Chr14: 0.492117","2.296"
"18242","ENSRNOG00000064284","LOC120100687","uncharacterized LOC120100687","Chr2: 31.489973","5.569","110.4","Chr2: 31.925135","-0.937"
"32428","UNCHAR_Usp26","Usp26","uncharacterized Usp26","ChrX: 131.363963","1.374","110.3","Chr6: 98.323867","-1.832"
"5844","ENSRNOG00000008099","Galnt12","polypeptide N-acetylgalactosaminyltransferase 12","Chr5: 61.384574","2.835","109.8","Chr5: 61.077310","-1.844"
"17051","UNCHAR_LOC120098768","LOC120098768","uncharacterized LOC120098768","Chr1: 1.841126","3.168","108.6","Chr1: 2.698079","-1.919"
"9163","UNCHAR_LOC102547398","LOC102547398","uncharacterized LOC102547398","Chr11: 80.468552","1.382","106.8","Chr11: 80.485948","1.424"
"2410","ENSRNOG00000046121","Cd300c","CD300c molecule","Chr10: 100.228253","2.912","106.1","Chr10: 99.846904","1.943"
"3778","ENSRNOG00000084482","Cyp2d1","cytochrome P450, family 2, subfamily d, polypeptide 1","Chr7: 113.913419","5.487","106.1","Chr7: 113.822112","1.921"
"20827","ENSRNOG00000031852","Lsamp","limbic system-associated membrane protein","Chr11: 60.717327","9.611","105.5","Chr11: 58.968000","-0.972"
"18356","UNCHAR_LOC120100829","LOC120100829","uncharacterized LOC120100829","Chr2: 142.229854","5.301","105.3","Chr7: 133.296205","-2.391"
"22266","ENSRNOG00000042912","Mycbpap","Mycbp associated protein","Chr10: 79.470976","6.898","104.9","Chr10: 79.677697","1.112"
"20215","UNCHAR_LOC291863","LOC291863","uncharacterized LOC291863","Chr19: 22.560684","10.490","101.4","Chr19: 14.059434","1.583"
"582","ENSRNOG00000002911","Alb","albumin","Chr14: 17.622813","12.699","100.8","Chr14: 17.532589","-1.495"
"21452","ENSRNOG00000057645","Micb","MHC class I polypeptide-related sequence B","Chr1: 78.495778","6.851","99.4","Chr1: 79.165093","0.760"
"10349","UNCHAR_LOC102552728","LOC102552728","uncharacterized LOC102552728","Chr1: 20.087733","7.184","99.2","Chr1: 20.006034","-0.830"
"152","ENSRNOG00000020624","Acadsb","acyl-CoA dehydrogenase, short/branched chain","Chr1: 186.188938","10.300","99.1","Chr1: 186.028979","0.678"
"30869","ENSRNOG00000067030","Tmsb10","thymosin, beta 10","Chr4: 105.011094","14.326","98.9","Chr4: 105.344429","-0.774"
"22382","ENSRNOG00000005955","Naalad2","N-acetylated alpha-linked acidic dipeptidase 2","Chr8: 15.479713","7.412","98.7","Chr8: 14.724875","-0.795"
"1686","ENSRNOG00000002811","Brinp3","BMP/retinoic acid inducible neural specific 3","Chr13: 58.413882","1.393","98.0","Chr13: 58.873433","1.827"
"30284","ENSRNOG00000016774","Telo2","telomere maintenance 2","Chr10: 14.135728","9.473","97.9","Chr10: 13.810068","-1.072"
"28929","UNCHAR_Slpil2","Slpil2","uncharacterized Slpil2","Chr3: 153.021370","2.835","97.4","Chr3: 153.340874","2.245"
"20152","ENSRNOG00000062977","LOC120103588","WW domain-binding protein 11-like","Chr6: 107.240903","6.517","97.1","Chr6: 107.059969","1.570"
"3737","ENSRNOG00000018236","Cym","chymosin","Chr2: 194.839095","3.682","96.4","Chr2: 194.327106","-1.576"
"2123","UNCHAR_Cbr1","Cbr1","carbonyl reductase 1","Chr11: 32.860570","8.296","96.1","Chr11: 32.836831","1.575"
"15185","ENSRNOG00000057229","LOC120096108","small nucleolar RNA, H/ACA box 15B-2","Chr12: 26.875890","3.185","96.1","Chr12: 27.015140","-1.868"
"2204","ENSRNOG00000010412","Ccdc180","coiled-coil domain containing 180","Chr5: 60.154882","3.853","96.0","Chr7: 59.856327","1.386"
"10276","UNCHAR_LOC102552388","LOC102552388","uncharacterized LOC102552388","Chr6: 131.618102","2.909","95.4","Chr3: 18.447382","-1.590"
"23106","ENSRNOG00000019206","Nupr1","nuclear protein 1, transcriptional regulator","Chr1: 181.215326","8.702","95.3","Chr1: 181.309526","-1.042"
"2523","ENSRNOG00000053332","Cdh26","cadherin 26","Chr3: 165.520522","3.853","94.5","Chr3: 165.192603","-1.237"
"28038","ENSRNOG00000005309","Scn8a","sodium voltage-gated channel alpha subunit 8","Chr7: 131.982151","8.130","94.3","Chr7: 132.843669","-1.508"
"15623","UNCHAR_LOC120096711","LOC120096711","uncharacterized LOC120096711","Chr14: 104.120566","3.511","93.8","Chr14: 102.177361","-1.178"
"5178","ENSRNOG00000024825","Fam163a","family with sequence similarity 163, member A","Chr13: 68.341322","3.309","93.7","Chr13: 67.852024","-1.636"
"12492","UNCHAR_LOC108351291","LOC108351291","uncharacterized LOC108351291","Chr6: 122.172033","6.967","93.7","Chr5: 160.724189","1.103"
"6415","ENSRNOG00000001251","Grifin","galectin-related inter-fiber protein","Chr12: 14.080169","11.287","93.5","Chr12: 14.100952","1.154"
"22436","ENSRNOG00000074135","Nat3","N-acetyltransferase 3","Chr16: 22.175961","3.705","93.3","Chr16: 22.295536","-1.743"
"6589","UNCHAR_H2ac18","H2ac18","histone cluster 2 H2A family member A2","Chr2: 183.808397","6.981","92.6","Chr2: 183.798575","-2.853"
"27800","ENSRNOG00000027513","Rtel1","regulator of telomere elongation helicase 1","Chr3: 168.427246","9.252","92.5","Chr3: 168.114441","-0.684"
"12104","UNCHAR_LOC108349628","LOC108349628","uncharacterized LOC108349628","Chr1: 175.141463","4.472","92.0","Chr1: 174.788504","1.498"
"30612","ENSRNOG00000053269","Tmem106c","transmembrane protein 106C","Chr7: 129.088467","6.815","91.4","Chr7: 128.577171","-0.626"
"9445","ENSRNOG00000079079","LOC102548576","uncharacterized LOC102548576","Chr11: 73.403896","3.178","91.0","Chr11: 72.767252","1.681"
"27162","ENSRNOG00000025551","Rgs22","regulator of G-protein signaling 22","Chr7: 67.308804","5.464","90.3","Chr7: 66.434495","-1.074"
"10528","UNCHAR_LOC102553634","LOC102553634","uncharacterized LOC102553634","Chr11: 42.183098","4.252","89.9","Chr11: 42.033724","-1.063"
"26762","UNCHAR_RGD1559482","RGD1559482","uncharacterized RGD1559482","Chr10: 100.174954","6.746","89.5","Chr10: 99.846935","-1.607"
"28869","ENSRNOG00000010296","Slc7a7","solute carrier family 7 member 7","Chr15: 27.873120","7.339","89.0","Chr15: 27.974218","0.658"
"17103","UNCHAR_LOC120098829","LOC120098829","uncharacterized LOC120098829","Chr20: 3.318106","6.636","88.7","Chr20: 3.601132","1.456"
"27551","UNCHAR_Rpl12-ps2","Rpl12-ps2","ribosomal protein L12, pseudogene 2","Chr2: 141.785084","5.048","88.4","Chr3: 16.490648","1.115"
"27757","UNCHAR_RT1-CE11","RT1-CE11","RT1 class I, locus CE11","Chr20: 3.358519","7.381","87.7","Chr20: 5.002150","1.746"
"11281","ENSRNOG00000075943","LOC103691076","uncharacterized LOC103691076","Chr1: 85.183194","4.782","87.2","Chr1: 84.965439","-0.806"
"394","ENSRNOG00000032959","Adh7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","Chr2: 226.748723","1.703","87.0","Chr2: 226.803112","1.495"
"6548","ENSRNOG00000007931","Gucy2e","guanylate cyclase 2D, retinal","Chr1: 152.739774","2.869","86.8","Chr1: 152.301954","1.380"
"17104","UNCHAR_LOC120098830","LOC120098830","uncharacterized LOC120098830","Chr20: 3.371221","5.015","86.2","Chr20: 3.601132","1.158"
"33028","UNCHAR_Ybx1-ps20","Ybx1-ps20","Y box binding protein 1, pseudogene 20","Chr10: 39.162721","8.726","86.2","Chr5: 133.068819","0.550"
"6666","ENSRNOG00000047321","Hba-a3","hemoglobin alpha, adult chain 3","Chr10: 15.312393","6.828","85.8","Chr10: 15.438463","-1.948"
"10124","UNCHAR_LOC102551693","LOC102551693","uncharacterized LOC102551693","Chr1: 204.680567","5.732","85.5","Chr1: 205.159275","0.743"
"13942","UNCHAR_LOC120094326","LOC120094326","uncharacterized LOC120094326","Chr8: 32.866229","3.861","85.5","Chr8: 32.952038","2.383"
"28236","ENSRNOG00000034229","Serpinb1b","serine (or cysteine) peptidase inhibitor, clade B, member 1b","Chr17: 31.329150","6.036","85.1","Chr17: 31.438420","2.168"
"32181","UNCHAR_Uap1l2","Uap1l2","uncharacterized Uap1l2","Chr6: 1.741395","5.129","84.2","Chr13: 83.183593","1.297"
"467","ENSRNOG00000023116","Agmo","alkylglycerol monooxygenase","Chr6: 53.986235","10.818","84.0","Chr6: 53.879848","0.741"
"9814","ENSRNOG00000089559","LOC102550339","uncharacterized LOC102550339","Chr5: 110.110708","1.767","83.6","Chr5: 110.033650","1.229"
"27997","ENSRNOG00000013279","Scd3","stearoyl-coenzyme A desaturase 3","Chr1: 243.093056","4.407","83.4","Chr1: 243.327780","3.432"
"27795","ENSRNOG00000032596","RT1-T24-3","RT1 class I, locus T24, gene 3","Chr20: 2.718209","8.773","83.3","Chr20: 2.611182","1.003"
"8906","UNCHAR_LOC100912568","LOC100912568","uncharacterized LOC100912568","Chr6: 107.231785","5.190","82.6","Chr6: 107.059969","1.872"
"30680","ENSRNOG00000007907","Tmem178a","transmembrane protein 178A","Chr6: 14.063676","6.958","81.6","Chr6: 14.057826","-0.859"
"27755","ENSRNOG00000071235","RT1-CE1","RT1 class I, locus1","Chr20: 3.559486","9.461","81.1","Chr20: 4.679209","1.009"
"8824","UNCHAR_LOC100911506","LOC100911506","uncharacterized LOC100911506","Chr14: 44.318609","4.613","81.0","Chr14: 44.394691","-1.058"
"1921","ENSRNOG00000060407","Cacna1i","calcium voltage-gated channel subunit alpha1 I","Chr7: 111.835995","4.152","80.8","Chr7: 111.740041","-1.607"
"13434","UNCHAR_LOC120093626","LOC120093626","uncharacterized LOC120093626","Chr7: 61.940111","4.366","79.7","Chr7: 61.809626","-1.288"
"20150","UNCHAR_LOC120103584","LOC120103584","uncharacterized LOC120103584","Chr6: 107.141541","5.469","79.3","Chr6: 107.059969","1.355"
"17768","UNCHAR_LOC120099936","LOC120099936","uncharacterized LOC120099936","Chr1: 182.090610","4.287","78.6","Chr1: 182.323560","0.709"
"29908","ENSRNOG00000024073","Syce1","synaptonemal complex central element protein 1","Chr1: 195.863173","2.839","78.6","Chr1: 195.020992","-1.748"
"7257","ENSRNOG00000009253","Igsf9b","immunoglobulin superfamily, member 9B","Chr8: 25.712643","6.230","78.5","Chr8: 25.570084","1.235"
"20384","UNCHAR_LOC681224","LOC681224","uncharacterized LOC681224","Chr18: 11.227028","5.881","78.5","Chr4: 25.286827","0.934"
"9966","ENSRNOG00000083324","LOC102551006","uncharacterized LOC102551006","Chr5: 21.628170","1.161","78.0","Chr5: 21.572861","1.114"
"32690","ENSRNOG00000078605","Vom2r44","vomeronasal 2 receptor 44","Chr2: 148.497149","6.770","78.0","Chr2: 149.828204","0.613"
"19329","UNCHAR_LOC120102367","LOC120102367","endogenous retrovirus group K member 21 Env polyprotein-like","Chr4: 147.708406","3.788","77.4","Chr4: 148.389881","-2.321"
"17798","UNCHAR_LOC120099967","LOC120099967","uncharacterized LOC120099967","Chr1: 200.189260","4.467","77.0","Chr1: 201.365247","1.206"
"11177","ENSRNOG00000016217","LOC103690178","nucleolar GTP-binding protein 1-like","Chr17: 61.404560","6.813","76.1","Chr17: 61.901363","0.740"
"25230","UNCHAR_Pira12","Pira12","paired-Ig-like receptor A12","Chr1: 65.304407","3.921","75.9","Chr1: 65.713205","1.022"
"27771","ENSRNOG00000030431","RT1-Db2","RT1 class II, locus Db2","Chr20: 4.539723","5.944","75.8","Chr20: 4.679209","1.691"
"9000","UNCHAR_LOC102546604","LOC102546604","uncharacterized LOC102546604","Chr1: 12.073611","5.050","75.3","Chr1: 11.644866","0.872"
"17050","UNCHAR_LOC120098766","LOC120098766","histocompatibility antigen 60b-like","Chr1: 1.517225","1.903","75.2","Chr1: 1.137347","2.319"
"23307","ENSRNOG00000025957","Ooep","oocyte expressed protein","Chr8: 79.224553","2.711","74.8","Chr9: 49.051196","1.488"
"10232","UNCHAR_LOC102552179","LOC102552179","uncharacterized LOC102552179","Chr6: 89.523181","8.286","74.5","Chr6: 88.072336","-0.498"
"32203","ENSRNOG00000000767","Ubd","ubiquitin like modifier D","Chr20: 1.387437","3.950","74.2","Chr20: 1.568617","1.746"
"22597","ENSRNOG00000008716","Nefh","neurofilament heavy chain","Chr14: 79.840346","4.808","74.1","Chr14: 79.465350","1.576"
"8354","UNCHAR_Lilrb1","Lilrb1","leukocyte immunoglobulin like receptor B1","Chr1: 65.457263","6.305","73.9","Chr1: 65.713205","0.825"
"1954","ENSRNOG00000011130","Calca","calcitonin-related polypeptide alpha","Chr1: 168.883175","3.507","73.3","Chr1: 168.821778","1.407"
"32351","ENSRNOG00000059840","Unc5a","unc-5 netrin receptor A","Chr17: 9.670557","5.110","72.9","Chr17: 9.399220","1.147"
"7854","ENSRNOG00000060356","Kif15","kinesin family member 15","Chr8: 122.601887","5.689","72.5","Chr8: 123.157499","-0.713"
"3538","ENSRNOG00000007057","Csmd2","CUB and Sushi multiple domains 2","Chr5: 140.342351","5.390","72.4","Chr5: 140.667634","1.307"
"9585","UNCHAR_LOC102549291","LOC102549291","uncharacterized LOC102549291","Chr3: 138.835646","4.499","72.3","Chr3: 138.848480","1.003"
"11657","UNCHAR_LOC103693572","LOC103693572","uncharacterized LOC103693572","Chr11: 56.002986","4.195","72.2","Chr11: 55.372546","-1.182"
"9089","UNCHAR_LOC102547086","LOC102547086","uncharacterized LOC102547086","Chr4: 162.235045","8.643","72.1","Chr13: 102.773533","0.768"
"8591","ENSRNOG00000090721","LOC100362296","protein S100-A11-like","Chr3: 138.539299","1.718","71.5","Chr3: 138.348233","1.245"
"2192","ENSRNOG00000063478","Ccdc168","coiled-coil domain containing 168","Chr9: 46.236324","3.058","71.4","Chr9: 46.531618","0.980"
"2714","ENSRNOG00000091108","Ces1f","carboxylesterase 1F","Chr19: 13.796622","9.100","71.2","Chr19: 14.059434","0.935"
"11430","UNCHAR_LOC103691954","LOC103691954","zinc finger protein 431-like","Chr4: 3.782885","2.324","71.0","Chr3: 138.848480","1.862"
"1952","ENSRNOG00000007456","Calb1","calbindin 1","Chr5: 29.375623","5.265","70.7","Chr5: 29.456424","0.758"
"2124","UNCHAR_Cbr1l1","Cbr1l1","carbonyl reductase 1 like 1","Chr11: 32.876562","8.750","70.3","Chr11: 34.213273","-1.690"
"26807","UNCHAR_RGD1560124","RGD1560124","uncharacterized RGD1560124","ChrX: 117.621325","2.568","70.3","Chr20: 6.323102","-1.505"
"14525","UNCHAR_LOC120095151","LOC120095151","uncharacterized LOC120095151","Chr10: 63.864377","4.316","70.1","Chr7: 109.093977","1.125"
"14840","UNCHAR_LOC120095605","LOC120095605","uncharacterized LOC120095605","Chr11: 28.643442","2.980","69.5","Chr11: 28.831347","1.301"
"10660","UNCHAR_LOC102554288","LOC102554288","uncharacterized LOC102554288","Chr3: 145.466044","4.346","69.3","Chr3: 145.050063","-2.032"
"27111","UNCHAR_RGD1565766","RGD1565766","uncharacterized RGD1565766","Chr6: 26.923604","6.919","69.3","Chr6: 20.949751","-0.743"
"28364","ENSRNOG00000009613","Sh3bgrl2","SH3 domain binding glutamate-rich protein like 2","Chr8: 84.461018","8.462","69.2","Chr8: 84.236358","-0.608"
"12767","ENSRNOG00000089679","LOC108352304","uncharacterized LOC108352304","Chr11: 28.991550","4.338","68.9","Chr11: 28.840444","1.368"
"27033","UNCHAR_RGD1564482","RGD1564482","uncharacterized RGD1564482","Chr5: 148.517518","3.231","68.9","Chr5: 148.448833","0.772"
"3118","ENSRNOG00000014075","Clybl","citramalyl-CoA lyase","Chr15: 99.283643","7.929","68.6","Chr15: 99.417966","-0.614"
"23055","ENSRNOG00000022576","Nudt12","nudix hydrolase 12","Chr9: 98.755038","9.303","68.6","Chr9: 97.359745","-0.573"
"29476","ENSRNOG00000002085","Spmap2l","sperm microtubule associated protein 2 like","Chr14: 31.152486","2.527","68.6","Chr14: 31.142847","-1.145"
"15110","UNCHAR_LOC120095967","LOC120095967","uncharacterized LOC120095967","Chr12: 33.243971","2.132","68.2","Chr12: 33.354417","-1.033"
"3390","ENSRNOG00000084862","Cpm","carboxypeptidase M","Chr7: 53.225646","5.998","68.1","Chr7: 53.314244","0.631"
"27107","UNCHAR_RGD1565693","RGD1565693","uncharacterized RGD1565693","Chr6: 107.202204","3.629","68.1","Chr6: 107.059969","1.211"
"18247","UNCHAR_LOC120100693","LOC120100693","uncharacterized LOC120100693","Chr2: 33.734739","2.164","67.9","Chr2: 33.741686","-1.290"
"1187","ENSRNOG00000020202","Asrgl1","asparaginase and isoaspartyl peptidase 1","Chr1: 206.027114","9.409","67.7","Chr1: 205.159275","-0.684"
"15806","UNCHAR_LOC120096968","LOC120096968","uncharacterized LOC120096968","Chr1: 85.121841","6.004","67.0","Chr1: 85.398518","0.598"
"19029","UNCHAR_LOC120101891","LOC120101891","uncharacterized LOC120101891","Chr3: 13.538890","6.458","67.0","Chr3: 12.564220","-0.808"
"16676","UNCHAR_LOC120098218","LOC120098218","uncharacterized LOC120098218","Chr18: 70.169583","3.042","66.8","Chr18: 70.329282","1.190"
"10899","UNCHAR_LOC102555453","LOC102555453","uncharacterized LOC102555453","ChrX: 1.197282","9.106","66.6","Chr3: 16.490648","0.517"
"10920","UNCHAR_LOC102555557","LOC102555557","MLV-related proviral Env polyprotein-like","Chr12: 26.822693","2.770","66.6","Chr12: 27.015140","-1.649"
"14915","UNCHAR_LOC120095687","LOC120095687","uncharacterized LOC120095687","Chr11: 76.630584","4.142","66.6","Chr11: 77.035984","-1.150"
"20959","ENSRNOG00000050784","Macrod2","mono-ADP ribosylhydrolase 2","Chr3: 127.720065","8.238","66.4","Chr3: 129.153371","-1.025"
"10877","UNCHAR_LOC102555374","LOC102555374","uncharacterized LOC102555374","Chr13: 84.978985","4.778","66.0","Chr13: 84.954509","-0.650"
"22919","UNCHAR_Npy4r","Npy4r","neuropeptide Y receptor Y4","Chr16: 9.469056","1.262","65.8","Chr16: 9.517626","-1.268"
"24276","ENSRNOG00000089681","Or6k2","olfactory receptor family 6 subfamily K member 2","Chr13: 86.186441","2.073","65.8","Chr13: 86.622151","1.083"
"17647","ENSRNOG00000037348","LOC120099798","interferon stimulated exonuclease gene 20 like 1","Chr1: 93.701376","6.850","65.7","Chr1: 93.830128","0.617"
"18272","UNCHAR_LOC120100724","LOC120100724","uncharacterized LOC120100724","Chr2: 51.952729","5.818","65.7","Chr2: 52.627302","-0.821"
"583","ENSRNOG00000039504","Albfm1","albumin superfamily member 1","Chr14: 17.525024","2.396","65.5","Chr14: 17.530689","-1.168"
"11873","UNCHAR_LOC108348488","LOC108348488","uncharacterized LOC108348488","Chr1: 53.829903","4.641","65.3","Chr1: 53.025976","-0.774"
"2414","ENSRNOG00000042251","Cd300ld","Cd300 molecule-like family member D","Chr10: 100.115852","3.590","65.2","Chr10: 99.574645","-1.202"
"5149","ENSRNOG00000002110","Fam114a1l1","family with sequence similarity 114, member A1-like 1","Chr9: 111.659570","5.296","64.7","Chr14: 43.285791","0.650"
"27764","UNCHAR_RT1-CE3","RT1-CE3","RT1 class I, locus CE3","Chr20: 3.520937","6.850","64.7","Chr20: 4.679209","1.123"
"1273","ENSRNOG00000030269","Atp2b2","ATPase plasma membrane Ca2+ transporting 2","Chr4: 147.208059","4.507","64.6","Chr4: 145.227332","-1.377"
"11424","UNCHAR_LOC103691939","LOC103691939","uncharacterized LOC103691939","Chr3: 143.139772","8.354","64.0","Chr8: 79.366724","0.687"
"9804","UNCHAR_LOC102550304","LOC102550304","uncharacterized LOC102550304","Chr3: 131.526273","5.520","63.9","Chr3: 131.462440","0.678"
"11440","UNCHAR_LOC103691992","LOC103691992","uncharacterized LOC103691992","Chr3: 164.305928","4.021","63.9","Chr3: 163.652536","-1.057"
"12616","UNCHAR_LOC108351754","LOC108351754","uncharacterized LOC108351754","Chr8: 84.651605","0.955","63.7","Chr8: 84.736853","1.067"
"10471","UNCHAR_LOC102553363","LOC102553363","uncharacterized LOC102553363","Chr1: 20.663698","1.523","63.6","Chr1: 20.006034","-0.911"
"16033","ENSRNOG00000061398","LOC120097291","U1 spliceosomal RNA","Chr15: 21.239755","3.425","63.3","Chr6: 72.936638","1.611"
"27793","ENSRNOG00000073529","RT1-T24-1","RT1 class I, locus T24, gene 1","Chr20: 2.761494","5.531","62.6","Chr20: 3.601132","0.666"
"27816","ENSRNOG00000000279","Rtn4ip1","reticulon 4 interacting protein 1","Chr20: 47.382250","7.377","62.5","Chr20: 47.342075","0.516"
"12846","UNCHAR_LOC108352547","LOC108352547","uncharacterized LOC108352547","Chr13: 56.747096","2.015","62.4","Chr13: 56.452309","-1.088"
"8502","UNCHAR_LOC100360200","LOC100360200","uncharacterized LOC100360200","Chr12: 10.211743","3.988","62.2","Chr12: 9.403643","1.263"
"32002","ENSRNOG00000004411","Tspan8","tetraspanin 8","Chr7: 51.444945","7.137","62.0","Chr7: 51.760433","-0.804"
"1724","ENSRNOG00000002728","Btc","betacellulin","Chr14: 16.708446","3.978","61.9","Chr14: 17.079721","-1.065"
"8793","UNCHAR_LOC100911030","LOC100911030","uncharacterized LOC100911030","Chr1: 207.703429","5.861","61.9","Chr1: 208.647015","-0.963"
"8955","UNCHAR_LOC102546433","LOC102546433","uncharacterized LOC102546433","Chr18: 0.125306","6.176","61.8","Chr18: 0.012173","0.554"
"10100","UNCHAR_LOC102551569","LOC102551569","uncharacterized LOC102551569","Chr1: 174.135540","1.072","61.8","Chr1: 175.800813","1.441"
"31075","ENSRNOG00000021091","Trank1","tetratricopeptide repeat and ankyrin repeat containing 1","Chr8: 111.275972","5.425","61.8","Chr8: 110.719344","-0.934"
"28908","UNCHAR_Slfn13","Slfn13","uncharacterized Slfn13","Chr10: 67.955911","9.726","61.4","Chr10: 68.317118","-0.504"
"32664","ENSRNOG00000054736","Vom2r16","vomeronasal 2 receptor, 16","Chr1: 63.236377","1.133","61.4","Chr1: 63.505542","1.064"
