"Index","Record","Symbol","Description","Location","Mean","Peak -logP","Peak Location","Effect Size"
"8525","ENSRNOG00000033517","LOC100360791","tumor protein, translationally-controlled 1 like 3","Chr1: 19.107388","11.177","95.3","Chr15: 50.896269","2.124"
"30894","ENSRNOG00000002882_1","Tnfrsf11a","zinc finger CCHC-type containing 2","Chr13: 21.928369","3.846","94.3","Chr13: 21.879457","-2.089"
"26944","UNCHAR_RGD1562690","RGD1562690","uncharacterized RGD1562690","Chr8: 30.363219","10.368","94.2","Chr1: 97.168285","1.641"
"15516","UNCHAR_LOC120096589","LOC120096589","uncharacterized LOC120096589","Chr14: 20.675110","2.562","93.7","Chr14: 19.903596","-1.792"
"22921","ENSRNOG00000012772","Nqo1","NAD(P)H quinone dehydrogenase 1","Chr19: 35.310527","8.403","93.4","Chr19: 35.245044","1.405"
"7236","ENSRNOG00000026087","Igfn1","immunoglobulin-like and fibronectin type III domain containing 1","Chr13: 47.427505","3.315","92.6","Chr13: 47.430013","3.601"
"28892","ENSRNOG00000086993","Slco1a5","solute carrier organic anion transporter family, member 1A5","Chr4: 175.254597","1.771","92.5","Chr4: 175.154923","-1.874"
"183","ENSRNOG00000065119","Acnat1","acyl-coenzyme A amino acid N-acyltransferase 1","Chr5: 63.801600","8.639","90.5","Chr5: 63.700422","3.022"
"8253","ENSRNOG00000013973","Lcn2","lipocalin 2","Chr3: 15.684032","1.930","89.9","Chr3: 15.375341","-2.438"
"26979","UNCHAR_RGD1563400","RGD1563400","uncharacterized RGD1563400","Chr12: 18.580285","4.560","89.3","Chr12: 19.031953","-1.986"
"10660","UNCHAR_LOC102554288","LOC102554288","uncharacterized LOC102554288","Chr3: 145.466044","4.284","86.2","Chr3: 145.050063","-2.409"
"20216","ENSRNOG00000054438","LOC292543","solute carrier family 7 member 3 like 1","Chr1: 66.053134","2.271","84.0","Chr1: 66.378703","2.077"
"28532","ENSRNOG00000010337","Slc13a2","solute carrier family 13 member 2","Chr10: 63.319126","7.000","83.5","Chr10: 63.165362","1.265"
"13470","UNCHAR_LOC120093670","LOC120093670","uncharacterized LOC120093670","Chr7: 92.999436","4.062","82.8","Chr7: 93.103623","-1.999"
"15514","UNCHAR_LOC120096585","LOC120096585","uncharacterized LOC120096585","Chr14: 20.406945","6.882","81.8","Chr14: 19.903596","1.901"
"29012","ENSRNOG00000087561","Smim40","small integral membrane protein 40","Chr20: 4.989049","6.138","81.6","Chr20: 5.002150","-1.796"
"20215","UNCHAR_LOC291863","LOC291863","uncharacterized LOC291863","Chr19: 22.560684","8.056","81.0","Chr19: 14.059434","2.286"
"392","ENSRNOG00000069176","Adh6","alcohol dehydrogenase 6 (class V)","Chr2: 226.903207","10.578","80.4","Chr2: 227.302230","-3.378"
"3049","ENSRNOG00000029644","Clec2l","C-type lectin domain family 2, member L","Chr4: 67.392117","4.079","79.6","Chr4: 67.575059","1.268"
"1308","ENSRNOG00000006926","Atp6v0d2","ATPase H+ transporting V0 subunit D2","Chr5: 33.385353","4.712","77.9","Chr5: 33.461794","1.824"
"4451","ENSRNOG00000016853","Dsg1","desmoglein 1","Chr18: 11.674686","3.094","77.5","Chr18: 12.192688","-2.199"
"9710","UNCHAR_LOC102549876","LOC102549876","uncharacterized LOC102549876","Chr5: 49.583549","5.907","76.8","Chr5: 49.404396","-1.638"
"26856","UNCHAR_RGD1561231","RGD1561231","uncharacterized RGD1561231","Chr17: 85.807841","3.439","76.8","Chr17: 85.401930","-1.804"
"32084","ENSRNOG00000008596","Ttll9","tubulin tyrosine ligase like 9","Chr3: 141.429350","3.668","76.7","Chr3: 141.406009","-1.673"
"28689","ENSRNOG00000011161","Slc2a12","solute carrier family 2 member 12","Chr1: 22.862203","6.988","76.0","Chr1: 22.842323","-1.027"
"9899","UNCHAR_LOC102550701","LOC102550701","uncharacterized LOC102550701","Chr8: 122.360139","3.888","75.6","Chr8: 123.157499","1.671"
"26762","UNCHAR_RGD1559482","RGD1559482","uncharacterized RGD1559482","Chr10: 100.174954","3.460","75.4","Chr10: 99.846935","-1.638"
"26194","ENSRNOG00000032656","Ptprt","protein tyrosine phosphatase, receptor type, T","Chr3: 151.288144","2.786","75.3","Chr3: 151.311512","2.561"
"8980","UNCHAR_LOC102546541","LOC102546541","uncharacterized LOC102546541","Chr1: 155.718309","4.486","74.9","Chr1: 157.103012","1.688"
"12902","UNCHAR_LOC108352728","LOC108352728","uncharacterized LOC108352728","Chr14: 20.404390","7.596","73.7","Chr14: 19.903596","1.851"
"27763","UNCHAR_RT1-CE2","RT1-CE2","RT1 class I, locus CE2","Chr20: 3.541840","5.646","73.7","Chr20: 4.602213","2.235"
"17104","UNCHAR_LOC120098830","LOC120098830","uncharacterized LOC120098830","Chr20: 3.371221","2.023","73.0","Chr20: 3.601132","1.493"
"4477","ENSRNOG00000018005","Duoxa1","dual oxidase maturation factor 1","Chr3: 109.260510","3.961","72.9","Chr3: 109.271062","-1.548"
"20454","UNCHAR_LOC685767","LOC685767","uncharacterized LOC685767","Chr11: 55.350432","2.940","72.1","Chr11: 55.372546","-1.894"
"5801","UNCHAR_Gabpb1l","Gabpb1l","GA binding protein transcription factor, beta subunit 1-like","Chr17: 50.356829","3.470","70.6","Chr3: 113.885548","1.602"
"29908","ENSRNOG00000024073","Syce1","synaptonemal complex central element protein 1","Chr1: 195.863173","1.284","70.3","Chr1: 196.097163","-1.713"
"22436","ENSRNOG00000074135","Nat3","N-acetyltransferase 3","Chr16: 22.175961","1.613","70.1","Chr16: 22.295536","-1.795"
"11281","ENSRNOG00000075943","LOC103691076","uncharacterized LOC103691076","Chr1: 85.183194","2.146","70.0","Chr1: 85.901814","-1.340"
"9778","UNCHAR_LOC102550180","LOC102550180","uncharacterized LOC102550180","Chr15: 27.915135","8.191","69.4","Chr15: 27.974218","1.021"
"27767","UNCHAR_RT1-CE6","RT1-CE6","RT1 class I, locus CE6","Chr20: 3.461855","1.517","69.0","Chr20: 3.601132","1.373"
"4760","ENSRNOG00000006853","Elavl2","ELAV like RNA binding protein 2","Chr5: 106.086462","2.626","68.6","Chr5: 106.507856","1.587"
"20573","UNCHAR_LOC690319","LOC690319","uncharacterized LOC690319","Chr6: 122.858813","1.566","68.4","Chr6: 123.067730","1.469"
"4571","ENSRNOG00000007408","Ebf4","EBF family member 4","Chr3: 117.498185","3.433","68.3","Chr3: 117.823761","-1.386"
"12492","UNCHAR_LOC108351291","LOC108351291","uncharacterized LOC108351291","Chr6: 122.172033","1.665","67.8","Chr5: 161.224488","1.332"
"27759","UNCHAR_RT1-CE13","RT1-CE13","RT1 class I, locus CE13","Chr20: 3.318049","4.420","67.6","Chr20: 4.680142","2.232"
"7375","ENSRNOG00000025948","Inava","innate immunity activator","Chr13: 47.687382","3.969","66.9","Chr13: 47.930266","-1.376"
"16959","UNCHAR_LOC120098616","LOC120098616","uncharacterized LOC120098616","Chr19: 19.942671","1.379","66.8","Chr19: 20.064558","-1.281"
"8155","ENSRNOG00000047941","Krtcap3","keratinocyte associated protein 3","Chr6: 25.122521","4.733","66.6","Chr6: 25.131442","1.348"
"17768","UNCHAR_LOC120099936","LOC120099936","uncharacterized LOC120099936","Chr1: 182.090610","5.087","66.2","Chr1: 182.323560","1.067"
"28659","ENSRNOG00000033251","Slc25a52","solute carrier family 25, member 52","Chr14: 45.398336","2.686","65.8","Chr5: 59.115211","1.334"
"6279","ENSRNOG00000010731","Gpm6a","glycoprotein m6a","Chr16: 36.973376","8.128","65.2","Chr16: 37.066228","1.170"
"10648","UNCHAR_LOC102554231","LOC102554231","uncharacterized LOC102554231","Chr12: 17.828029","4.570","65.2","Chr12: 17.789478","1.482"
"10934","UNCHAR_LOC102555623","LOC102555623","uncharacterized LOC102555623","Chr2: 226.558531","2.864","65.1","Chr2: 226.735033","-1.591"
"9000","UNCHAR_LOC102546604","LOC102546604","uncharacterized LOC102546604","Chr1: 12.073611","2.560","65.0","Chr1: 11.644866","1.528"
"15515","UNCHAR_LOC120096588","LOC120096588","uncharacterized LOC120096588","Chr14: 20.650774","2.877","65.0","Chr14: 19.903596","-1.781"
"18272","UNCHAR_LOC120100724","LOC120100724","uncharacterized LOC120100724","Chr2: 51.952729","2.824","64.9","Chr2: 52.627302","-1.640"
"11177","ENSRNOG00000016217","LOC103690178","nucleolar GTP-binding protein 1-like","Chr17: 61.404560","6.312","64.7","Chr17: 61.901363","1.461"
"272","ENSRNOG00000017901","Acy3","aminoacylase 3","Chr1: 201.279750","10.149","64.6","Chr1: 201.177465","-0.773"
"6977","ENSRNOG00000045838","Hps1","HPS1, biogenesis of lysosomal organelles complex 3 subunit 1","Chr1: 241.577256","7.499","64.5","Chr1: 241.553485","0.851"
"3817","UNCHAR_Cyp4f5","Cyp4f5","uncharacterized Cyp4f5","Chr7: 11.544039","4.923","64.2","Chr7: 11.496541","-1.047"
"5760","ENSRNOG00000016469","Fxyd2","FXYD domain-containing ion transport regulator 2","Chr8: 45.712900","4.686","64.2","Chr8: 45.814875","-1.216"
"6668","UNCHAR_Hbb-b1","Hbb-b1","hemoglobin, beta adult major chain","Chr1: 158.231674","8.034","64.2","Chr1: 158.468568","1.220"
"19329","UNCHAR_LOC120102367","LOC120102367","endogenous retrovirus group K member 21 Env polyprotein-like","Chr4: 147.708406","1.841","64.2","Chr4: 148.389881","-1.429"
"22233","UNCHAR_Mup4","Mup4","major urinary protein 4","Chr5: 74.964685","7.519","64.1","Chr5: 77.453923","-4.647"
"14915","UNCHAR_LOC120095687","LOC120095687","uncharacterized LOC120095687","Chr11: 76.630584","4.940","63.8","Chr11: 77.035984","-2.196"
"21486","ENSRNOG00000008694","Miox","myo-inositol oxygenase","Chr7: 120.405030","7.024","63.8","Chr7: 120.551699","1.524"
"8254","ENSRNOG00000074882","Lcn3","lipocalin 3","Chr3: 8.542791","2.171","63.3","Chr3: 9.132259","2.164"
"27765","ENSRNOG00000071228","RT1-CE4","RT1 class I, locus CE4","Chr20: 3.504534","8.054","63.1","Chr20: 5.002150","1.144"
"829","ENSRNOG00000033923","Aox2","aldehyde oxidase 2","Chr9: 59.828402","7.067","63.0","Chr9: 59.678566","1.965"
"9804","UNCHAR_LOC102550304","LOC102550304","uncharacterized LOC102550304","Chr3: 131.526273","3.713","63.0","Chr3: 132.076729","-1.203"
"10959","UNCHAR_LOC102555770","LOC102555770","uncharacterized LOC102555770","Chr1: 87.811245","5.184","62.9","Chr1: 87.967736","1.119"
"20206","UNCHAR_LOC259244","LOC259244","uncharacterized LOC259244","Chr5: 74.912889","6.810","62.1","Chr5: 74.310359","1.625"
"5117","ENSRNOG00000038825","Fabp12","fatty acid binding protein 12","Chr2: 91.539567","4.723","61.9","Chr2: 90.622770","-1.272"
"22597","ENSRNOG00000008716","Nefh","neurofilament heavy chain","Chr14: 79.840346","3.656","61.2","Chr14: 79.465350","1.485"
"1187","ENSRNOG00000020202","Asrgl1","asparaginase and isoaspartyl peptidase 1","Chr1: 206.027114","9.203","60.2","Chr1: 205.159275","-0.773"
"9561","UNCHAR_LOC102549163","LOC102549163","uncharacterized LOC102549163","Chr13: 101.814039","3.591","60.2","Chr13: 101.487789","-1.197"
"31151","ENSRNOG00000015347","Trim45","tripartite motif-containing 45","Chr2: 188.349978","5.427","60.0","Chr2: 187.994697","-0.928"
"4129","ENSRNOG00000053675","Dhh","desert hedgehog signaling molecule","Chr7: 130.056405","1.700","59.5","Chr7: 129.645702","-1.298"
"21318","ENSRNOG00000014711","Meiob","meiosis specific with OB-fold","Chr10: 13.833169","4.204","59.4","Chr10: 13.810068","-1.446"
"26934","UNCHAR_RGD1562525","RGD1562525","uncharacterized RGD1562525","Chr12: 17.682714","0.459","59.4","Chr12: 19.031953","0.891"
"11560","UNCHAR_LOC103692950","LOC103692950","uncharacterized LOC103692950","Chr7: 113.513046","2.609","59.3","Chr7: 113.404775","-1.407"
"8912","ENSRNOG00000042224_1","LOC100912642","cytochrome P450 2J3-like","Chr5: 110.930401","1.632","59.2","Chr5: 111.023453","-1.170"
"18995","UNCHAR_LOC120101826","LOC120101826","zinc finger protein 431-like","Chr3: 164.541156","2.009","59.2","Chr3: 164.153483","-1.414"
"12201","UNCHAR_LOC108350123","LOC108350123","uncharacterized LOC108350123","Chr2: 226.881248","2.871","58.9","Chr2: 227.454883","-2.212"
"229","ENSRNOG00000031211","Acsm5","acyl-CoA synthetase medium-chain family member 5","Chr1: 173.870872","11.034","58.7","Chr1: 172.059761","1.398"
"26947","UNCHAR_RGD1562739","RGD1562739","uncharacterized RGD1562739","Chr7: 90.404316","1.371","58.6","Chr7: 90.263240","-1.468"
"9916","UNCHAR_LOC102550769","LOC102550769","uncharacterized LOC102550769","Chr8: 48.226957","3.126","58.2","Chr8: 48.321392","2.064"
"32181","UNCHAR_Uap1l2","Uap1l2","uncharacterized Uap1l2","Chr6: 1.741395","1.596","58.0","Chr13: 83.183593","1.536"
"10609","UNCHAR_LOC102554057","LOC102554057","uncharacterized LOC102554057","Chr2: 43.504403","5.653","57.4","Chr2: 43.477907","1.462"
"18232","UNCHAR_LOC120100677","LOC120100677","uncharacterized LOC120100677","Chr2: 28.733014","1.871","57.4","Chr2: 28.799556","1.241"
"11212","UNCHAR_LOC103690538","LOC103690538","uncharacterized LOC103690538","Chr9: 59.901998","4.340","57.3","Chr9: 59.678566","1.299"
"10291","UNCHAR_LOC102552452","LOC102552452","uncharacterized LOC102552452","Chr12: 2.688004","1.622","57.1","Chr12: 2.754668","1.344"
"2124","UNCHAR_Cbr1l1","Cbr1l1","carbonyl reductase 1 like 1","Chr11: 32.876562","2.168","56.9","Chr11: 32.836831","2.322"
"7854","ENSRNOG00000060356","Kif15","kinesin family member 15","Chr8: 122.601887","2.894","56.5","Chr8: 123.157499","-1.237"
"3118","ENSRNOG00000014075","Clybl","citramalyl-CoA lyase","Chr15: 99.283643","7.920","56.1","Chr15: 99.417966","-0.837"
"30619","ENSRNOG00000027480","Tmem116","transmembrane protein 116","Chr12: 35.089408","2.576","56.0","Chr12: 34.960575","-1.357"
"1907","ENSRNOG00000014787","Cabp5","calcium binding protein 5","Chr1: 74.350810","1.547","55.8","Chr1: 76.986665","1.325"
"29554","ENSRNOG00000000172","Sqor","sulfide quinone oxidoreductase","Chr3: 109.841224","10.162","55.8","Chr3: 111.605111","0.762"
"26707","UNCHAR_RGD1306271","RGD1306271","uncharacterized RGD1306271","Chr4: 66.968406","4.682","55.5","Chr4: 67.075063","1.328"
"28790","ENSRNOG00000042332","Slc44a5","solute carrier family 44, member 5","Chr2: 242.911049","1.127","55.4","Chr2: 242.342321","-1.314"
"12804","UNCHAR_LOC108352416","LOC108352416","uncharacterized LOC108352416","Chr12: 6.233760","5.209","55.3","Chr12: 6.543668","-0.930"
"8536","UNCHAR_LOC100361025","LOC100361025","uncharacterized LOC100361025","Chr14: 87.552304","3.697","55.2","Chr1: 95.146648","1.172"
"9526","UNCHAR_LOC102548951","LOC102548951","uncharacterized LOC102548951","Chr18: 53.494663","1.872","55.1","Chr18: 54.066542","1.396"
"5038","ENSRNOG00000007118","Eva1a","eva-1 homolog A, regulator of programmed cell death","Chr4: 114.593772","9.564","54.9","Chr4: 114.802024","0.644"
"23170","ENSRNOG00000014465","Oca2","OCA2 melanosomal transmembrane protein","Chr1: 107.116277","2.513","54.9","Chr1: 106.636582","-1.415"
"29647","ENSRNOG00000007332","Sstr3","somatostatin receptor 3","Chr7: 110.108921","2.995","54.5","Chr7: 110.115189","-1.520"
"4577","ENSRNOG00000042253","Ecd","ecdysoneless cell cycle regulator","Chr15: 3.967208","7.242","54.1","Chr15: 3.520668","-0.673"
"908","ENSRNOG00000062320","Apof","apolipoprotein F","Chr7: 0.701020","11.386","53.9","Chr7: 1.964338","0.994"
"27751","ENSRNOG00000069480","RT1-A2","RT1 class Ia, locus A2","Chr20: 4.870938","11.181","53.8","Chr20: 3.210100","-1.373"
"30473","ENSRNOG00000038894","Timd4","T-cell immunoglobulin and mucin domain containing 4","Chr10: 31.185750","3.520","53.7","Chr10: 31.088556","-1.547"
"7951","ENSRNOG00000010959","Klhl25","kelch-like family member 25","Chr1: 129.724893","9.698","52.9","Chr1: 129.545323","-0.667"
"9217","UNCHAR_LOC102547621","LOC102547621","uncharacterized LOC102547621","Chr5: 56.952976","1.512","52.7","Chr5: 56.984189","1.056"
"5844","ENSRNOG00000008099","Galnt12","polypeptide N-acetylgalactosaminyltransferase 12","Chr5: 61.384574","1.466","52.5","Chr5: 61.077310","-1.085"
"17103","UNCHAR_LOC120098829","LOC120098829","uncharacterized LOC120098829","Chr20: 3.318106","4.457","52.4","Chr20: 4.679209","1.554"
"20269","UNCHAR_LOC498369","LOC498369","uncharacterized LOC498369","Chr14: 44.791252","1.664","52.1","Chr10: 86.167301","1.456"
"20384","UNCHAR_LOC681224","LOC681224","uncharacterized LOC681224","Chr18: 11.227028","4.514","52.1","Chr4: 25.286827","1.529"
"26756","UNCHAR_RGD1359290","RGD1359290","uncharacterized RGD1359290","Chr10: 92.373734","9.019","52.1","Chr18: 68.328736","2.040"
"5149","ENSRNOG00000002110","Fam114a1l1","family with sequence similarity 114, member A1-like 1","Chr9: 111.659570","1.328","51.9","Chr14: 43.285791","1.243"
"27039","UNCHAR_RGD1564597","RGD1564597","uncharacterized RGD1564597","Chr8: 100.576989","2.388","51.7","Chr8: 44.681539","-1.215"
"30651","ENSRNOG00000013238","Tmem14a","transmembrane protein 14A","Chr9: 23.640593","3.141","51.7","Chr9: 21.934821","-1.827"
"7254","ENSRNOG00000046216","Igsf7","immunoglobulin superfamily, member 7","Chr10: 100.153766","2.704","51.6","Chr10: 99.574645","1.623"
"5185","ENSRNOG00000022822","Fam169b","family with sequence similarity 169, member B","Chr1: 121.878669","5.961","51.5","Chr1: 121.226637","1.599"
"22406","ENSRNOG00000033693","Naip6","NLR family, apoptosis inhibitory protein 6","Chr2: 31.548479","5.474","51.3","Chr2: 31.327083","1.156"
"20462","UNCHAR_LOC685989","LOC685989","uncharacterized LOC685989","Chr19: 21.937395","2.849","50.8","Chr19: 13.144002","-1.886"
"22459","ENSRNOG00000042978","Ncald","neurocalcin delta","Chr7: 68.964739","5.918","50.5","Chr7: 68.665848","1.111"
"25128","ENSRNOG00000005569","Phospho1","phosphoethanolamine/phosphocholine phosphatase 1","Chr10: 80.762061","6.501","50.2","Chr10: 80.874886","0.706"
"29351","ENSRNOG00000008232","Spaca1","sperm acrosome associated 1","Chr5: 48.540675","0.374","50.0","Chr5: 48.237537","0.748"
"9163","UNCHAR_LOC102547398","LOC102547398","uncharacterized LOC102547398","Chr11: 80.468552","0.794","49.9","Chr11: 80.485948","0.830"
"28545","ENSRNOG00000018748","Slc16a11","solute carrier family 16, member 11","Chr10: 54.929128","6.473","49.9","Chr10: 55.177413","1.237"
"2517","ENSRNOG00000029841","Cdh19","cadherin 19","Chr13: 28.047489","1.657","49.8","Chr13: 24.309117","1.302"
"11424","UNCHAR_LOC103691939","LOC103691939","uncharacterized LOC103691939","Chr3: 143.139772","9.359","49.7","Chr8: 79.366724","0.765"
"18862","ENSRNOG00000068036","LOC120101644","sodium/nucleoside cotransporter 2-like","Chr3: 109.577555","7.844","49.6","Chr3: 109.271062","0.924"
"10352","UNCHAR_LOC102552752","LOC102552752","uncharacterized LOC102552752","Chr11: 77.335761","6.216","49.4","Chr11: 77.181196","-0.857"
"20522","UNCHAR_LOC689303","LOC689303","uncharacterized LOC689303","Chr17: 14.423634","4.592","49.3","Chr17: 14.426630","-0.929"
"32307","ENSRNOG00000058057","Uggt2","UDP-glucose glycoprotein glucosyltransferase 2","Chr15: 96.239357","3.312","49.3","Chr15: 96.098863","1.124"
"11440","UNCHAR_LOC103691992","LOC103691992","uncharacterized LOC103691992","Chr3: 164.305928","4.056","49.2","Chr3: 163.652536","-1.310"
"22480","ENSRNOG00000017155","Nck2","NCK adaptor protein 2","Chr9: 45.713978","5.794","49.1","Chr9: 47.546007","-1.152"
"28788","ENSRNOG00000011723","Slc44a3","solute carrier family 44, member 3","Chr2: 209.628181","4.038","48.4","Chr2: 209.824864","-1.035"
"9089","UNCHAR_LOC102547086","LOC102547086","uncharacterized LOC102547086","Chr4: 162.235045","7.374","48.2","Chr13: 103.716378","0.923"
"27750","ENSRNOG00000069209","RT1-A1","RT1 class Ia, locus A1","Chr20: 4.905308","6.392","48.1","Chr20: 5.521968","-1.886"
"6861","UNCHAR_Hmgb1-ps28","Hmgb1-ps28","high-mobility group box 1, pseudogene 28","Chr16: 48.746341","2.027","47.9","Chr12: 5.581347","1.188"
"10920","UNCHAR_LOC102555557","LOC102555557","MLV-related proviral Env polyprotein-like","Chr12: 26.822693","1.618","47.7","Chr12: 27.015140","-1.329"
"18943","UNCHAR_LOC120101770","LOC120101770","protein NDRG3-like","Chr3: 145.584912","0.832","47.7","Chr3: 145.190228","1.497"
"1024","ENSRNOG00000052354","Arhgef40","Rho guanine nucleotide exchange factor 40","Chr15: 24.672644","7.723","47.6","Chr15: 24.617522","0.652"
